|======================Sat Nov 29 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
10:48:05:640 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

10:48:05:720 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

10:48:05:785 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

10:48:05:832 | PARSED-STRING: Mod0CellVoltage0:164
             | RAW-STRING   : #17164

10:48:05:897 | PARSED-STRING: Mod0CellVoltage1:3896
             | RAW-STRING   : #183896

10:48:05:961 | PARSED-STRING: Mod0CellVoltage2:3902
             | RAW-STRING   : #193902

10:48:06:024 | PARSED-STRING: Mod0PcbTemperature:3896
             | RAW-STRING   : #203896

10:48:06:088 | PARSED-STRING: Mod0CellVoltage4:3902
             | RAW-STRING   : #213902

10:48:06:152 | PARSED-STRING: Mod0CellVoltage5:8204
             | RAW-STRING   : #228204

10:48:06:217 | PARSED-STRING: Mod0CellVoltage6:3908
             | RAW-STRING   : #233908

10:48:06:280 | PARSED-STRING: Mod0CellVoltage7:8204
             | RAW-STRING   : #248204

10:48:06:344 | PARSED-STRING: Mod1PcbTemperature:3908
             | RAW-STRING   : #253908

10:48:06:392 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

10:48:06:456 | PARSED-STRING: Mod1CellVoltage0:168
             | RAW-STRING   : #27168

10:48:06:520 | PARSED-STRING: Mod1CellVoltage1:3898
             | RAW-STRING   : #283898

10:48:06:584 | PARSED-STRING: Mod1CellVoltage2:3895
             | RAW-STRING   : #293895

10:48:06:648 | PARSED-STRING: Mod1CellVoltage3:3898
             | RAW-STRING   : #303898

10:48:06:712 | PARSED-STRING: Mod1CellVoltage4:3895
             | RAW-STRING   : #313895

10:48:06:760 | PARSED-STRING: Mod1CellVoltage5:3906
             | RAW-STRING   : #323906

10:48:06:841 | PARSED-STRING: Mod1CellVoltage6:3916
             | RAW-STRING   : #333916

10:48:06:889 | PARSED-STRING: Mod1CellVoltage7:3906
             | RAW-STRING   : #343906

10:48:06:968 | PARSED-STRING: Mod2PcbTemperature:3916
             | RAW-STRING   : #353916

10:48:07:017 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

10:48:07:081 | PARSED-STRING: Mod2CellVoltage0:179
             | RAW-STRING   : #37179

10:48:07:144 | PARSED-STRING: Mod2CellVoltage1:3894
             | RAW-STRING   : #383894

10:48:07:208 | PARSED-STRING: Mod2CellVoltage2:3895
             | RAW-STRING   : #393895

10:48:07:273 | PARSED-STRING: Mod2CellVoltage3:3894
             | RAW-STRING   : #403894

10:48:07:337 | PARSED-STRING: Mod2CellVoltage4:3895
             | RAW-STRING   : #413895

10:48:07:401 | PARSED-STRING: Mod2CellVoltage5:3896
             | RAW-STRING   : #423896

10:48:07:448 | PARSED-STRING: Mod2CellVoltage6:3877
             | RAW-STRING   : #433877

10:48:07:529 | PARSED-STRING: Mod2CellVoltage7:3896
             | RAW-STRING   : #443896

10:48:07:576 | PARSED-STRING: Mod3PcbTemperature:3877
             | RAW-STRING   : #453877

10:48:07:641 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

10:48:07:704 | PARSED-STRING: Mod3CellVoltage0:182
             | RAW-STRING   : #47182

10:48:07:784 | PARSED-STRING: Mod3CellVoltage1:3888
             | RAW-STRING   : #483888

