|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
             | RAW-STRING   : #01817

20:43:34:229 | PARSED-STRING: DriverSetCurrent:23421
             | RAW-STRING   : #0223421

20:43:34:293 | PARSED-STRING: VehicleVelocity:13379
             | RAW-STRING   : #0313379

20:43:34:358 | PARSED-STRING: BusCurrentA:122282
             | RAW-STRING   : #04122282

20:43:34:422 | PARSED-STRING: BusVoltage:227990
             | RAW-STRING   : #05227990

20:43:34:485 | PARSED-STRING: MotorVelocityRpm:1521
             | RAW-STRING   : #061521

20:43:34:533 | PARSED-STRING: MotorVoltageReal:-35
             | RAW-STRING   : #07-35

20:43:34:613 | PARSED-STRING: MotorCurrentReal:12317
             | RAW-STRING   : #0812317

20:43:34:661 | PARSED-STRING: BackEmfImaginary:28308
             | RAW-STRING   : #0928308

20:43:34:725 | PARSED-STRING: DspBoardTemp:31177
             | RAW-STRING   : #1131177

20:43:34:789 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:43:34:853 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:43:34:933 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:43:34:981 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

20:43:35:045 | PARSED-STRING: Mod0CellVoltage1:3864
             | RAW-STRING   : #183864

20:43:35:109 | PARSED-STRING: Mod0CellVoltage2:3877
             | RAW-STRING   : #193877

20:43:35:173 | PARSED-STRING: Mod0PcbTemperature:3864
             | RAW-STRING   : #203864

20:43:35:237 | PARSED-STRING: Mod0CellVoltage4:3877
             | RAW-STRING   : #213877

20:43:35:285 | PARSED-STRING: Mod0CellVoltage5:3888
             | RAW-STRING   : #223888

20:43:35:349 | PARSED-STRING: Mod0CellVoltage6:3884
             | RAW-STRING   : #233884

20:43:35:413 | PARSED-STRING: Mod0CellVoltage7:3888
             | RAW-STRING   : #243888

20:43:35:477 | PARSED-STRING: Mod1PcbTemperature:3884
             | RAW-STRING   : #253884

20:43:35:541 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:43:35:605 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

20:43:35:669 | PARSED-STRING: Mod1CellVoltage1:3875
             | RAW-STRING   : #283875

20:43:35:733 | PARSED-STRING: Mod1CellVoltage2:3846
             | RAW-STRING   : #293846

20:43:35:796 | PARSED-STRING: Mod1CellVoltage3:3875
             | RAW-STRING   : #303875

20:43:35:844 | PARSED-STRING: Mod1CellVoltage4:3846
             | RAW-STRING   : #313846

20:43:35:908 | PARSED-STRING: Mod1CellVoltage5:3882
             | RAW-STRING   : #323882

20:43:35:988 | PARSED-STRING: Mod1CellVoltage6:3891
             | RAW-STRING   : #333891

20:43:36:052 | PARSED-STRING: Mod1CellVoltage7:3882
             | RAW-STRING   : #343882

20:43:36:101 | PARSED-STRING: Mod2PcbTemperature:3891
             | RAW-STRING   : #353891

20:43:36:164 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:43:36:228 | PARSED-STRING: Mod2CellVoltage0:177
             | RAW-STRING   : #37177

20:43:36:293 | PARSED-STRING: Mod2CellVoltage1:3868
             | RAW-STRING   : #383868

20:43:36:356 | PARSED-STRING: Mod2CellVoltage2:3870
             | RAW-STRING   : #393870

20:43:36:420 | PARSED-STRING: Mod2CellVoltage3:3868
             | RAW-STRING   : #403868

20:43:36:484 | PARSED-STRING: Mod2CellVoltage4:3870
             | RAW-STRING   : #413870

20:43:36:548 | PARSED-STRING: Mod2CellVoltage5:3838
             | RAW-STRING   : #423838

20:43:36:595 | PARSED-STRING: Mod2CellVoltage6:3854
             | RAW-STRING   : #433854

20:43:36:676 | PARSED-STRING: Mod2CellVoltage7:3838
             | RAW-STRING   : #443838

20:43:36:740 | PARSED-STRING: Mod3PcbTemperature:3854
             | RAW-STRING   : #453854

20:43:36:788 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:43:36:851 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

20:43:36:916 | PARSED-STRING: Mod3CellVoltage1:3863
             | RAW-STRING   : #483863

20:43:36:980 | PARSED-STRING: Mod3CellVoltage2:3864
             | RAW-STRING   : #493864

20:43:37:044 | PARSED-STRING: Mod3CellVoltage3:3863
             | RAW-STRING   : #503863

20:43:37:109 | PARSED-STRING: Mod3CellVoltage4:3864
             | RAW-STRING   : #513864

