|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:22:53:713 | PARSED-STRING: Mod0PcbTemperature:3891
             | RAW-STRING   : #203891

20:22:53:745 | PARSED-STRING: Mod0CellVoltage4:3898
             | RAW-STRING   : #213898

20:22:53:792 | PARSED-STRING: Mod0CellVoltage5:3909
             | RAW-STRING   : #223909

20:22:53:856 | PARSED-STRING: Mod0CellVoltage6:3905
             | RAW-STRING   : #233905

20:22:53:920 | PARSED-STRING: Mod0CellVoltage7:3909
             | RAW-STRING   : #243909

20:22:53:984 | PARSED-STRING: Mod1PcbTemperature:3905
             | RAW-STRING   : #253905

20:22:54:069 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

