|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
             | RAW-STRING   : #183864

18:17:49:792 | PARSED-STRING: Mod0CellVoltage2:3877
             | RAW-STRING   : #193877

18:17:49:840 | PARSED-STRING: Mod0PcbTemperature:3864
             | RAW-STRING   : #203864

18:17:49:904 | PARSED-STRING: Mod0CellVoltage4:3877
             | RAW-STRING   : #213877

18:17:50:032 | PARSED-STRING: Mod0CellVoltage5:3888
             | RAW-STRING   : #223888

18:17:50:048 | PARSED-STRING: Mod0CellVoltage6:3884
             | RAW-STRING   : #233884

18:17:50:112 | PARSED-STRING: Mod0CellVoltage7:3888
             | RAW-STRING   : #243888

18:17:50:160 | PARSED-STRING: Mod1PcbTemperature:3884
             | RAW-STRING   : #253884

18:17:50:224 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

18:17:50:288 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

18:17:50:352 | PARSED-STRING: Mod1CellVoltage1:3875
             | RAW-STRING   : #283875

18:17:50:416 | PARSED-STRING: Mod1CellVoltage2:3846
             | RAW-STRING   : #293846

18:17:50:480 | PARSED-STRING: Mod1CellVoltage3:3875
             | RAW-STRING   : #303875

18:17:50:544 | PARSED-STRING: Mod1CellVoltage4:3846
             | RAW-STRING   : #313846

18:17:50:592 | PARSED-STRING: Mod1CellVoltage5:3882
             | RAW-STRING   : #323882

18:17:50:671 | PARSED-STRING: Mod1CellVoltage6:3891
             | RAW-STRING   : #333891

18:17:50:735 | PARSED-STRING: Mod1CellVoltage7:3882
             | RAW-STRING   : #343882

18:17:50:783 | PARSED-STRING: Mod2PcbTemperature:3891
             | RAW-STRING   : #353891

18:17:50:847 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

18:17:50:912 | PARSED-STRING: Mod2CellVoltage0:177
             | RAW-STRING   : #37177

18:17:50:975 | PARSED-STRING: Mod2CellVoltage1:3868
             | RAW-STRING   : #383868

18:17:51:040 | PARSED-STRING: Mod2CellVoltage2:3870
             | RAW-STRING   : #393870

18:17:51:103 | PARSED-STRING: Mod2CellVoltage3:3868
             | RAW-STRING   : #403868

18:17:51:167 | PARSED-STRING: Mod2CellVoltage4:3870
             | RAW-STRING   : #413870

18:17:51:231 | PARSED-STRING: Mod2CellVoltage5:3838
             | RAW-STRING   : #423838

18:17:51:295 | PARSED-STRING: Mod2CellVoltage6:3854
             | RAW-STRING   : #433854

18:17:51:359 | PARSED-STRING: Mod2CellVoltage7:3838
             | RAW-STRING   : #443838

18:17:51:407 | PARSED-STRING: Mod3PcbTemperature:3854
             | RAW-STRING   : #453854

18:17:51:471 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

18:17:51:535 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

18:17:51:615 | PARSED-STRING: Mod3CellVoltage1:3863
             | RAW-STRING   : #483863

18:17:51:663 | PARSED-STRING: Mod3CellVoltage2:3864
             | RAW-STRING   : #493864

18:17:51:727 | PARSED-STRING: Mod3CellVoltage3:3863
             | RAW-STRING   : #503863

18:17:51:791 | PARSED-STRING: Mod3CellVoltage4:3864
             | RAW-STRING   : #513864

18:17:51:855 | PARSED-STRING: Mod3CellVoltage5:3868
             | RAW-STRING   : #523868

18:17:51:902 | PARSED-STRING: Mod3CellVoltage6:3856
             | RAW-STRING   : #533856

18:17:51:982 | PARSED-STRING: Mod3CellVoltage7:3868
             | RAW-STRING   : #543868

18:17:52:031 | PARSED-STRING: BatteryVoltage:3856
             | RAW-STRING   : #553856

18:17:52:094 | PARSED-STRING: BatteryCurrent:123139
             | RAW-STRING   : #56123139

18:17:52:174 | PARSED-STRING: BatteryVoltageThresholdRising:-11163
             | RAW-STRING   : #57-11163

18:17:52:223 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

18:17:52:287 | PARSED-STRING: 57279616
             | RAW-STRING   : #5957279616

18:17:52:414 | PARSED-STRING: 235311
             | RAW-STRING   : #00235311

18:17:52:479 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

18:17:52:590 | PARSED-STRING: DriverSetCurrent:24206
             | RAW-STRING   : #0224206

18:17:52:623 | PARSED-STRING: VehicleVelocity:9869
             | RAW-STRING   : #039869

18:17:52:670 | PARSED-STRING: BusCurrentA:122855
             | RAW-STRING   : #04122855

18:17:52:718 | PARSED-STRING: BusVoltage:235636
             | RAW-STRING   : #05235636

18:17:52:782 | PARSED-STRING: MotorVelocityRpm:1191
             | RAW-STRING   : #061191

18:17:52:846 | PARSED-STRING: MotorVoltageReal:6
             | RAW-STRING   : #076

